timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 1 3 7 5 13 8 3 0 13 3 7 2 8
4 1 2 8 5 15 11 3 0 17 3 7 2 10
5 3 3 7 8 12 12 6 0 14 5 5 3 13
6 4 3 8 11 8 13 7 0 14 5 5 5 12
7 6 5 6 11 7 15 7 1 14 5 4 6 13
8 6 4 6 11 7 15 8 1 13 5 4 8 11
9 6 4 6 11 6 15 8 1 13 5 4 8 11
10 7 5 6 10 6 16 9 1 11 6 3 7 12
11 7 5 7 10 6 16 9 1 11 6 4 7 11
12 7 5 7 10 7 16 7 0 13 6 4 7 11
13 7 5 7 9 7 16 8 0 12 6 4 8 10
14 8 5 7 10 6 15 8 1 11 6 4 8 10
15 9 5 7 10 6 14 9 1 10 6 4 9 9
16 9 6 7 10 6 14 9 1 10 6 4 9 9
17 9 6 7 10 6 14 9 1 10 5 5 9 9
18 9 6 8 11 5 14 8 1 11 5 4 8 10
19 9 6 8 10 7 13 7 1 11 5 4 8 10
20 9 5 8 12 6 14 8 1 10 4 5 8 10
21 9 5 8 12 6 14 7 1 10 5 5 8 10
22 9 5 8 11 7 14 7 1 10 6 4 8 10
23 9 6 8 10 7 14 8 1 9 7 3 8 10
24 9 6 8 10 7 14 8 1 10 5 4 7 11
25 9 6 8 10 7 14 8 1 10 5 4 9 9
26 9 6 8 10 7 14 8 1 8 6 4 8 10
27 9 5 9 10 7 14 8 1 8 6 4 8 10
28 9 5 9 11 6 13 7 1 9 6 4 8 10
29 9 6 8 11 6 13 6 1 10 6 4 9 9
30 9 6 8 11 6 13 6 1 10 6 4 8 10
31 9 6 8 10 7 13 5 1 11 6 4 8 10
32 9 6 9 11 6 13 6 1 10 6 4 7 11
33 9 5 10 11 6 13 6 1 10 6 4 7 11
34 9 6 8 11 6 14 6 1 10 6 4 7 11
35 9 7 7 11 6 14 6 1 10 6 4 8 10
36 9 6 8 11 6 14 7 1 9 6 4 7 11
37 9 6 8 12 5 14 8 1 8 6 4 7 11
38 9 7 6 12 6 14 8 1 8 5 4 9 10
39 9 6 7 11 7 14 7 1 9 6 4 7 11
40 9 6 7 11 7 14 7 1 9 6 4 8 10
41 9 5 8 11 7 14 8 1 8 6 4 7 11
42 9 5 8 10 8 14 9 1 7 6 4 7 11
43 9 5 8 11 7 14 8 1 8 5 5 7 11
44 9 6 7 11 7 14 7 1 9 5 5 9 9
45 9 6 7 11 7 14 7 1 9 4 6 9 9
46 9 7 7 10 7 14 7 1 9 4 6 10 8
47 9 7 7 10 7 14 7 1 9 4 6 9 9
