#IDXCOL=3,DATACOL=2,SEP=' '
timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
6 2 5 0.1950269775979776 0.004973022402022409
9 1 3 0.19945834612160168 5.416538783983293E-4
10 1 3 0.19945834612160168 5.416538783983293E-4
11 1 3 0.19945834612160168 5.416538783983293E-4
31 9 32 0.1966327848132535 0.003367215186746514
32 9 32 0.1966327848132535 0.003367215186746514
33 9 32 0.1966327848132535 0.003367215186746514
34 9 32 0.1966327848132535 0.003367215186746514
35 9 32 0.1966327848132535 0.003367215186746514
36 9 32 0.1966327848132535 0.003367215186746514
37 9 32 0.1966327848132535 0.003367215186746514
38 9 32 0.1966327848132535 0.003367215186746514
39 9 32 0.1966327848132535 0.003367215186746514
40 9 32 0.1966327848132535 0.003367215186746514
41 9 32 0.1966327848132535 0.003367215186746514
42 9 32 0.1966327848132535 0.003367215186746514
43 9 32 0.1966327848132535 0.003367215186746514
44 9 32 0.1966327848132535 0.003367215186746514
45 9 32 0.1966327848132535 0.003367215186746514
46 9 32 0.1966327848132535 0.003367215186746514
47 9 32 0.1966327848132535 0.003367215186746514
48 9 32 0.1966327848132535 0.003367215186746514
49 9 32 0.1966327848132535 0.003367215186746514
50 9 32 0.1966327848132535 0.003367215186746514
51 9 32 0.1966327848132535 0.003367215186746514
52 9 32 0.1966327848132535 0.003367215186746514
53 9 32 0.1966327848132535 0.003367215186746514
54 9 32 0.1966327848132535 0.003367215186746514
55 9 32 0.1966327848132535 0.003367215186746514
56 9 32 0.1966327848132535 0.003367215186746514
57 9 32 0.1966327848132535 0.003367215186746514
58 9 32 0.1966327848132535 0.003367215186746514
59 9 32 0.1966327848132535 0.003367215186746514
60 9 32 0.1966327848132535 0.003367215186746514
61 9 32 0.1966327848132535 0.003367215186746514
62 9 32 0.1966327848132535 0.003367215186746514
63 9 32 0.1966327848132535 0.003367215186746514
64 9 32 0.1966327848132535 0.003367215186746514
65 9 32 0.1966327848132535 0.003367215186746514
66 9 32 0.1966327848132535 0.003367215186746514
67 9 32 0.1966327848132535 0.003367215186746514
68 9 32 0.1966327848132535 0.003367215186746514
69 9 32 0.1966327848132535 0.003367215186746514
70 9 32 0.1966327848132535 0.003367215186746514
71 9 32 0.1966327848132535 0.003367215186746514
72 9 32 0.1966327848132535 0.003367215186746514
73 9 32 0.1966327848132535 0.003367215186746514
74 9 32 0.1966327848132535 0.003367215186746514
75 9 32 0.1966327848132535 0.003367215186746514
76 9 32 0.1966327848132535 0.003367215186746514
77 9 32 0.1966327848132535 0.003367215186746514
